iter	RMSE
0	0.7328423173
1	0.7327769118
2	0.7327154521
3	0.7326506028
4	0.7325872044
5	0.7325233601
6	0.7324604284
7	0.7323972684
8	0.7323343989
9	0.7322737429
10	0.7322111321
11	0.7321484795
12	0.7320836044
13	0.7320221302
14	0.731955326
15	0.7318957981
16	0.7318318484
17	0.7317759831
18	0.73171905
19	0.7316591056
20	0.7315974364
21	0.7315375464
22	0.7314759199
23	0.7314187529
24	0.7313605744
25	0.7313058647
26	0.7312459036
27	0.7311849834
28	0.7311297782
29	0.7310739648
30	0.7310182554
31	0.7309649343
32	0.7309128427
33	0.7308548327
34	0.7307967463
35	0.7307385518
36	0.7306847082
37	0.7306247289
38	0.7305716126
39	0.7305127798
40	0.7304553678
41	0.730398522
42	0.7303414275
43	0.7302891704
44	0.7302338339
45	0.7301807401
46	0.7301281167
47	0.7300785629
48	0.7300219896
49	0.7299701355
50	0.7299237581
51	0.7298732815
52	0.7298176271
53	0.7297632182
54	0.7297081084
55	0.7296555893
56	0.7296089446
57	0.7295601915
58	0.7295120489
59	0.7294580929
60	0.7294086698
61	0.7293612313
62	0.7293133635
63	0.7292630104
64	0.7292145966
65	0.7291661055
66	0.7291172475
67	0.7290703277
68	0.7290248249
69	0.7289735096
70	0.7289318553
71	0.7288902764
72	0.7288440394
73	0.7287928121
74	0.7287450336
75	0.7286953007
76	0.7286476374
77	0.7286057308
78	0.7285618222
79	0.7285133527
80	0.7284662086
81	0.7284227414
82	0.7283790718
83	0.7283352693
84	0.7282934045
85	0.7282520727
86	0.7282075912
87	0.7281671627
88	0.7281254022
89	0.7280789993
90	0.7280353279
91	0.727996218
92	0.7279510429
93	0.7279107979
94	0.7278705786
95	0.7278326619
96	0.7277913418
97	0.7277484868
98	0.7277066071
99	0.7276648406
100	0.7276227359
101	0.7275819522
102	0.7275429553
103	0.7275007443
104	0.7274599798
105	0.7274224335
106	0.727382035
107	0.727336111
108	0.7272933598
109	0.7272551124
110	0.7272178724
111	0.7271765655
112	0.7271380865
113	0.7271019276
114	0.7270628173
115	0.7270260306
116	0.7269883401
117	0.7269506239
118	0.7269146468
119	0.7268736589
120	0.7268377565
121	0.7268010003
122	0.7267653578
123	0.7267261985
124	0.7266863629
125	0.7266501232
126	0.7266150667
127	0.7265760254
128	0.726539917
129	0.7265034969
130	0.726468858
131	0.7264359787
132	0.7263996219
133	0.7263594065
134	0.7263248764
135	0.7262863768
136	0.7262499151
137	0.7262146285
138	0.7261870038
139	0.7261567512
140	0.7261193867
141	0.7260844206
142	0.7260490524
143	0.7260129295
144	0.7259783813
145	0.7259434238
146	0.7259075814
147	0.7258690191
148	0.7258328016
149	0.72580044
150	0.72576522
151	0.7257311656
152	0.7256988542
153	0.7256648708
154	0.7256340116
155	0.7256034129
156	0.7255733106
157	0.7255395274
158	0.7255067219
159	0.7254712386
160	0.7254359121
161	0.7254068649
162	0.7253741806
163	0.7253422363
164	0.7253115314
165	0.725279253
166	0.7252452398
167	0.7252104146
168	0.7251812774
169	0.725150087
170	0.7251204867
171	0.7250924793
172	0.7250627375
173	0.725029649
174	0.7249952151
175	0.7249643391
176	0.7249317122
177	0.7249024685
178	0.7248717111
179	0.7248408136
180	0.7248100377
181	0.7247778855
182	0.7247493462
183	0.7247166268
184	0.724686409
185	0.7246561408
186	0.724625708
187	0.7245960976
188	0.724565362
189	0.7245360173
190	0.724509712
191	0.7244797106
192	0.7244485239
193	0.7244203422
194	0.7243929041
195	0.7243628044
196	0.7243367084
197	0.7243087952
198	0.724281145
199	0.7242550007
200	0.7242274634
201	0.7241983058
202	0.7241699667
203	0.7241396455
204	0.724110494
205	0.7240833794
206	0.7240578876
207	0.7240290337
208	0.7240028877
209	0.7239742769
210	0.7239494142
211	0.7239228008
212	0.7238956428
213	0.7238690455
214	0.7238423153
215	0.7238158077
216	0.7237894476
217	0.7237620139
218	0.7237326466
219	0.723706687
220	0.7236804976
221	0.7236510608
222	0.7236239307
223	0.723599035
224	0.7235719058
225	0.7235468937
226	0.7235200023
227	0.723496502
228	0.7234682182
229	0.7234444571
230	0.7234195241
231	0.7233926493
232	0.7233662839
233	0.7233402371
234	0.7233166383
235	0.7232927901
236	0.7232705772
237	0.723248294
238	0.7232232577
239	0.7231994564
240	0.7231769518
241	0.7231502991
242	0.7231244654
243	0.7230972308
244	0.7230716798
245	0.7230455527
246	0.7230193273
247	0.7229946687
248	0.722973848
249	0.7229456814
250	0.7229235304
251	0.7229003092
252	0.722873868
253	0.7228484455
254	0.7228222947
255	0.7227961362
256	0.7227713077
257	0.722747748
258	0.7227222181
259	0.7226965497
260	0.7226723471
261	0.7226503514
262	0.7226254018
263	0.7226058813
264	0.7225823678
265	0.7225573778
266	0.7225369017
267	0.7225098245
268	0.7224835619
269	0.7224589985
270	0.7224360261
271	0.7224145133
272	0.7223886188
273	0.7223662251
274	0.7223431094
275	0.7223184287
276	0.7222972019
277	0.7222718845
278	0.7222446776
279	0.7222221828
280	0.7222031442
281	0.7221775129
282	0.7221546496
283	0.7221327548
284	0.7221103016
285	0.7220863661
286	0.7220668997
287	0.7220468569
288	0.7220255926
289	0.7220033345
290	0.7219828264
291	0.7219626979
292	0.7219410747
293	0.7219214099
294	0.7218990221
295	0.7218770279
296	0.7218526896
297	0.7218323279
298	0.7218112054
299	0.7217870569
300	0.7217661719
301	0.7217479621
302	0.7217229228
303	0.7217009974
304	0.7216819072
305	0.7216576667
306	0.721636572
307	0.7216177096
308	0.7215995173
309	0.7215754841
310	0.7215560195
311	0.7215351246
312	0.7215159881
313	0.7214915042
314	0.7214705771
315	0.7214497563
316	0.7214295935
317	0.7214097108
318	0.7213890175
319	0.7213690311
320	0.7213490448
321	0.7213284328
322	0.7213057422
323	0.7212878428
324	0.7212693371
325	0.7212502362
326	0.7212315025
327	0.7212132946
328	0.7211902839
329	0.7211663291
330	0.7211504775
331	0.7211321896
332	0.7211148317
333	0.7210955467
334	0.7210762253
335	0.7210560937
336	0.7210368338
337	0.7210182167
338	0.7209998531
339	0.7209794041
340	0.7209615996
341	0.7209437936
342	0.7209272434
343	0.7209078476
344	0.720883191
345	0.7208644511
346	0.7208424924
347	0.7208226933
348	0.7208050129
349	0.7207886404
350	0.7207705533
351	0.7207497873
352	0.7207287232
353	0.7207073624
354	0.720689537
355	0.7206706321
356	0.7206515973
357	0.7206331152
358	0.720614123
359	0.7205940004
360	0.720578035
361	0.7205612883
362	0.720541813
363	0.7205253314
364	0.7205069183
365	0.7204879432
366	0.7204702535
367	0.720454317
368	0.7204353243
369	0.7204148477
370	0.7203983982
371	0.7203814873
372	0.720364228
373	0.7203478519
374	0.7203277982
375	0.7203081274
376	0.7202918806
377	0.7202701798
378	0.7202523419
379	0.7202359522
380	0.7202179845
381	0.7202009852
382	0.720185377
383	0.7201675163
384	0.7201516012
385	0.7201326247
386	0.7201155503
387	0.7201001067
388	0.7200838001
389	0.7200684009
390	0.7200477372
391	0.7200324204
392	0.720016427
393	0.7199964052
394	0.7199798076
395	0.7199647108
396	0.7199503858
397	0.7199307709
398	0.7199162754
399	0.7199019699
400	0.7198822801
401	0.71986575
402	0.7198464563
403	0.7198305278
404	0.7198145711
405	0.719798985
406	0.7197839578
407	0.7197662021
408	0.7197479492
409	0.7197327216
410	0.7197178942
411	0.7197011576
412	0.7196862214
413	0.7196692585
414	0.7196528826
415	0.7196356369
416	0.7196206496
417	0.719605354
418	0.7195864207
419	0.7195701072
420	0.7195552127
421	0.7195392629
422	0.7195264733
423	0.7195110443
424	0.7194971898
425	0.7194844669
426	0.7194681589
427	0.719454063
428	0.719437329
429	0.7194225769
430	0.7194073558
431	0.7193879096
432	0.7193738312
433	0.7193610304
434	0.7193473231
435	0.7193328655
436	0.7193161129
437	0.7192958479
438	0.7192804405
439	0.719262837
440	0.7192480008
441	0.7192349198
442	0.7192195684
443	0.7192026711
444	0.7191879699
445	0.7191721859
446	0.7191592295
447	0.7191428842
448	0.7191262511
449	0.7191129956
450	0.7190967062
451	0.719082261
452	0.7190673203
453	0.7190516966
454	0.7190382683
455	0.7190240605
456	0.7190087231
457	0.7189920288
458	0.7189782099
459	0.7189638408
460	0.7189512935
461	0.7189352224
462	0.7189206594
463	0.7189058222
464	0.718892615
465	0.718874652
466	0.7188584908
467	0.7188423799
468	0.718827312
469	0.7188101746
470	0.7187956034
471	0.7187822665
472	0.7187679502
473	0.7187504538
474	0.7187346287
475	0.718718072
476	0.718705365
477	0.7186898892
478	0.7186777354
479	0.7186639
480	0.718650716
481	0.7186362598
482	0.7186230844
483	0.7186092513
484	0.7185932979
485	0.7185796779
486	0.7185660069
487	0.7185547104
488	0.7185407904
489	0.718527205
490	0.7185123076
491	0.7184996179
492	0.7184859468
493	0.718472191
494	0.7184568154
495	0.7184436114
496	0.7184304104
497	0.7184131283
498	0.7184000141
499	0.7183848912
500	0.7183706576
501	0.7183523126
502	0.7183390635
503	0.7183244373
504	0.7183122456
505	0.7182980252
506	0.7182850888
507	0.7182715035
508	0.718257609
509	0.7182471213
510	0.7182330591
511	0.7182198922
512	0.7182041473
513	0.7181903493
514	0.7181764812
515	0.7181638534
516	0.7181497259
517	0.7181351914
518	0.718122778
519	0.7181095446
520	0.7180945816
521	0.7180815297
522	0.7180711154
523	0.7180568931
524	0.7180395341
525	0.7180268414
526	0.7180148562
527	0.7180021741
528	0.7179882431
529	0.7179740281
530	0.7179609238
531	0.7179477372
532	0.7179349123
533	0.7179216207
534	0.7179088958
535	0.7178961833
536	0.7178807483
537	0.7178675799
538	0.7178548949
539	0.717842002
540	0.7178296991
541	0.7178173953
542	0.7178073629
543	0.717795245
544	0.7177818491
545	0.7177686769
546	0.7177553455
547	0.7177405133
548	0.7177282779
549	0.7177185783
550	0.7177074074
551	0.7176925288
552	0.7176802125
553	0.7176682532
554	0.7176526896
555	0.7176421825
556	0.7176291577
557	0.7176165416
558	0.7176029933
559	0.717588602
560	0.717577083
561	0.7175629993
562	0.7175495344
563	0.7175384068
564	0.7175232241
565	0.7175105642
566	0.7174986318
567	0.7174878856
568	0.7174752652
569	0.717463479
570	0.7174508628
571	0.7174361019
572	0.7174262016
573	0.7174151276
574	0.7174017508
575	0.7173868047
576	0.7173755235
577	0.7173622801
578	0.7173498352
579	0.7173390284
580	0.7173280435
581	0.7173133622
582	0.7173028377
583	0.717291506
584	0.7172804341
585	0.7172679784
586	0.717258547
587	0.7172485986
588	0.7172371383
589	0.7172258536
590	0.7172143896
591	0.7172037116
592	0.7171891503
