iter	Passed	Remaining
0	30	1511546
1	52	1319034
2	75	1255977
3	98	1226919
4	121	1212684
5	143	1196590
6	165	1184913
7	188	1177156
8	211	1173950
9	238	1190846
10	262	1192981
11	287	1196712
12	311	1199632
13	342	1222056
14	366	1222717
15	390	1218723
16	413	1214948
17	435	1208480
18	461	1215307
19	487	1219402
20	513	1221248
21	542	1231892
22	566	1230586
23	589	1228113
24	612	1223584
25	634	1220099
26	658	1218266
27	685	1223997
28	710	1224628
29	736	1227066
30	766	1235277
31	796	1244502
32	823	1247182
33	848	1247364
34	875	1250171
35	901	1251153
36	926	1251314
37	954	1254672
38	979	1255264
39	1004	1255056
40	1029	1253870
41	1114	1325538
42	1178	1368922
43	1207	1371034
44	1233	1368802
45	1258	1367206
46	1286	1367078
47	1321	1374962
48	1356	1382791
49	1383	1382215
50	1413	1384035
51	1439	1382514
52	1464	1380099
53	1498	1385885
54	1528	1388103
55	1553	1385650
56	1580	1384623
57	1605	1382762
58	1632	1381840
59	1657	1379514
60	1681	1376514
61	1712	1379104
62	1740	1379552
63	1771	1382563
64	1801	1383851
65	1829	1384102
66	1855	1382980
67	1879	1380357
68	1903	1377388
69	1934	1379776
70	1966	1383054
71	1992	1381531
72	2016	1379211
73	2043	1378430
74	2068	1376773
75	2098	1378786
76	2127	1379617
77	2154	1379111
78	2180	1377614
79	2205	1376300
80	2231	1375201
81	2256	1373877
82	2281	1372189
83	2307	1371077
84	2331	1369061
85	2356	1367569
86	2388	1370478
87	2413	1368739
88	2437	1367124
89	2465	1367414
90	2491	1366648
91	2515	1364832
92	2541	1363896
93	2571	1365048
94	2603	1367785
95	2628	1366525
96	2657	1367373
97	2687	1368379
98	2710	1366309
99	2734	1364283
100	2756	1362068
101	2780	1360328
102	2810	1361470
103	2837	1361320
104	2864	1361314
105	2888	1359845
106	2913	1358492
107	2937	1356902
108	2961	1355538
109	2984	1353571
110	3006	1351352
111	3034	1351582
112	3062	1352127
113	3090	1352566
114	3114	1351101
115	3137	1349147
116	3159	1347256
117	3182	1345435
118	3204	1343427
119	3235	1344768
120	3260	1344140
121	3284	1342969
122	3311	1342671
123	3337	1342372
124	3362	1341656
125	3386	1340432
126	3412	1340099
127	3441	1340790
128	3466	1340183
129	3497	1341548
130	3524	1341726
131	3551	1341869
132	3575	1340681
133	3599	1339486
134	3621	1337788
135	3645	1336690
136	3669	1335487
137	3697	1336000
138	3727	1337172
139	3750	1335772
140	3774	1334758
141	3799	1333942
142	3831	1335775
143	3854	1334501
144	3877	1333048
145	3901	1332142
146	3928	1332136
147	3958	1333318
148	3983	1332770
149	4006	1331499
150	4029	1330373
151	4053	1329263
152	4075	1327831
153	4099	1326824
154	4121	1325372
155	4147	1325166
156	4178	1326529
157	4204	1326178
158	4228	1325480
159	4258	1326554
160	4284	1326421
161	4310	1325988
162	4335	1325576
163	4364	1326391
164	4391	1326443
165	4416	1325861
166	4447	1327141
167	4473	1327036
168	4502	1327472
169	4527	1326988
170	4549	1325823
171	4572	1324745
172	4600	1324939
173	4627	1325146
174	4656	1325728
175	4680	1324942
176	4703	1323868
177	4726	1322879
178	4748	1321759
179	4772	1320913
180	4796	1320295
181	4825	1320751
182	4863	1323969
183	4891	1324274
184	4914	1323248
185	4937	1322271
186	4964	1322455
187	4988	1321802
188	5012	1320941
189	5040	1321533
190	5069	1321928
191	5096	1322037
192	5120	1321411
193	5144	1320646
194	5166	1319469
195	5189	1318767
196	5214	1318321
197	5237	1317484
198	5264	1317487
199	5296	1318949
200	5325	1319377
201	5351	1319369
202	5376	1318767
203	5404	1319261
204	5434	1319984
205	5460	1319790
206	5484	1319203
207	5515	1320332
208	5541	1320107
209	5568	1320193
210	5596	1320512
211	5619	1319835
212	5644	1319463
213	5668	1318723
214	5695	1318899
215	5724	1319489
216	5748	1318840
217	5771	1318062
218	5796	1317594
219	5819	1316819
220	5842	1316067
221	5869	1316017
222	5907	1318658
223	5933	1318578
224	5962	1319026
225	5985	1318327
226	6009	1317680
227	6031	1316590
228	6054	1315783
229	6076	1314816
230	6098	1313922
231	6127	1314483
232	6156	1314997
233	6182	1314817
234	6205	1314021
235	6228	1313455
236	6252	1312805
237	6274	1311998
238	6300	1311881
239	6326	1311646
240	6351	1311317
241	6382	1312276
242	6409	1312369
243	6435	1312356
244	6460	1312055
245	6491	1313015
246	6518	1313086
247	6548	1313706
248	6574	1313608
249	6601	1313661
250	6631	1314341
251	6655	1313788
252	6680	1313606
253	6705	1313250
254	6729	1312848
255	6761	1313751
256	6790	1314260
257	6814	1313758
258	6838	1313310
259	6862	1312917
260	6886	1312430
261	6919	1313606
262	6943	1313177
263	6970	1313254
264	6997	1313208
265	7023	1313246
266	7046	1312509
267	7069	1311861
268	7093	1311361
269	7115	1310642
270	7138	1310012
271	7161	1309375
272	7192	1310172
273	7221	1310573
274	7247	1310493
275	7271	1310113
276	7294	1309393
277	7318	1308965
278	7343	1308771
279	7372	1309150
280	7398	1309037
281	7425	1309085
282	7453	1309384
283	7481	1309628
284	7507	1309663
285	7537	1310289
286	7563	1310125
287	7597	1311382
288	7628	1312138
289	7657	1312521
290	7688	1313321
291	7712	1312937
292	7737	1312710
293	7760	1312052
294	7783	1311444
295	7807	1310980
296	7831	1310594
297	7858	1310750
298	7887	1311030
299	7914	1311164
300	7953	1313179
301	7976	1312609
302	8000	1312156
303	8022	1311530
304	8046	1310987
305	8073	1311191
306	8104	1311882
307	8129	1311581
308	8151	1310883
309	8176	1310588
310	8199	1309974
311	8222	1309434
312	8245	1308951
313	8269	1308563
314	8301	1309342
315	8330	1309779
